"","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010"
"Tunisia",309.715503498659,282.999630168333,168.850209187653,383.690277358233,202.38940688311,324.052391957428,213.785155862065,331.587985281217,223.89048340361,230.208276134426,195.226301160909,411.811668783931,272.935930930962,301.105834185067,199.470052169541,208.65239120742,309.101965952728,297.825451091184,283.103580022262,236.739643290891,296.451937788624,199.902339482712,174.603793903933,237.581766936739,402.703935526185,299.124139947406,261.327301025391,299.1564631058,305.843108872236,213.759271136785,365.672459877143,272.700034577968
"Syrian Arab Republic",352.927366700891,405.897699225439,415.549635168624,360.699476059169,339.709639666832,315.202747919788,311.798730092506,373.952549346506,424.063604276474,501.56805566239,218.599560985826,236.16960008177,400.056897829657,366.641179960068,336.159929249385,447.38241326319,282.26826393441,442.588120760983,382.770671269665,316.738409800072,204.450334522822,311.18129657066,362.361659428845,343.4973142441,427.618419908497,355.392789030728,289.774427649093,350.448657728221,316.830764247947,240.937231298995,362.205466388023,262.865712623074
"Iraq",227.379589058502,280.366513837848,267.20040048075,345.263226782369,209.697230288857,243.365594518115,244.962267736245,320.576670105694,311.224311917846,301.567989282441,203.532992625097,162.567078774435,244.645053997374,299.215406897472,332.477856641624,345.980128684239,240.13537271957,281.263244495057,284.006067733319,251.040007697211,181.265284621925,221.648350676598,206.102193642778,267.652119865194,275.920727824607,256.307470221268,229.804255836888,284.298350016276,187.319353560955,148.000697464971,194.518960785448,150.147328493888
"Algeria",121.66267398139,122.68510947272,76.0995104825385,122.120052281941,56.7162037686767,89.294963425565,95.9854462659248,120.657897490207,89.7377294691924,99.5268143849952,81.3455895592119,121.790738486798,109.79391956775,101.874881202929,101.916598872604,111.768539631478,99.7978400894415,138.476309344033,112.943791264686,78.5745410339855,112.621939946558,68.9926757689948,63.595041070029,91.9030507992361,124.692964743231,120.988433339885,109.220601019458,116.690446136154,100.740227450834,123.189281625168,139.203952506324,116.807432475491
"Morocco",339.386299570655,261.701699566689,161.177457773002,306.678785239056,209.886770406346,227.63176887658,275.630497294626,263.036670174568,334.463603997686,295.881680822676,388.195460811542,246.460237831067,299.924761924015,211.941256772181,262.691061906754,213.6856586432,261.796526671975,529.946042006183,348.197487800744,199.544052950136,258.641469918998,229.168270669925,208.433288525624,318.908546544944,343.175624725925,252.649913326191,207.288662661413,297.606621420308,234.366083716131,341.644543933261,366.989399272165,445.713088503309
"Cyprus",582.204193115234,543.570617675781,797.263641357422,460.450714111328,606.013458251953,585.329956054688,557.148345947266,491.544097900391,648.590545654297,750.919006347656,440.197937011719,378.584396362305,686.936309814453,550.533569335938,370.727005004883,682.353302001953,421.339950561523,585.871643066406,563.080368041992,530.825897216797,392.543502807617,612.290161132812,685.092346191406,554.623443603516,582.162719726562,562.562438964844,455.512008666992,497.092987060547,506.155944824219,350.805206298828,752.675109863281,464.033599853516
"Lebanon",421.492706298828,498.049407958984,452.259796142578,415.492614746094,409.076202392578,411.796600341797,306.252410888672,400.988098144531,414.665802001953,499.109405517578,242.952713012695,258.245483398438,515.929016113281,481.899291992188,292.003509521484,531.791076660156,257.733306884766,413.675109863281,470.417907714844,328.398895263672,205.378601074219,365.105102539062,349.601898193359,429.765594482422,537.87841796875,394.081604003906,379.51318359375,374.770599365234,348.885009765625,265.792083740234,421.0703125,265.870697021484
"Jordan",185.617075892857,202.796381923131,95.9866446358817,194.51729561942,145.606378827776,121.419438389369,150.958757237026,172.157763671875,149.029807390486,231.643806675502,102.60171421596,122.239625767299,207.932266453334,192.996831839425,110.861583818708,221.862770298549,84.5602571759905,137.827892194475,173.450979614258,115.639559936523,70.9181769234794,127.002886962891,161.968924386161,173.324669538225,150.16043788365,134.658131190709,112.54558694022,127.588454546247,117.809049333845,93.5425907679967,115.542118617467,118.940969412667
"Libyan Arab Jamahiriya",63.3929474099639,70.0737070867858,74.6837732085923,78.3323975359728,62.7919235705522,60.7462268674434,54.1462244955215,74.3630048619511,47.6588792897723,64.2906884711406,37.5416347831236,61.0596112615969,78.8326625323739,39.7312667478765,53.331992587664,74.6041945862488,71.3777878074678,43.6088711699052,49.931687419588,53.3990330905882,42.8369104503173,53.8997927155793,48.1538260356222,46.8337119739068,42.9980178250476,37.3139066577159,65.0843573540399,71.6214617956713,52.4816644776694,57.6577230407502,46.7925874656429,37.5573646751959
"Israel",225.26021030971,253.648764474051,152.172653198242,231.806265694754,210.388087681362,168.694453648158,187.800284249442,241.864985874721,188.94928414481,287.668400355748,158.584932599749,161.862439836775,295.781398228237,281.758501325335,153.535637991769,311.881216866629,127.336356026786,190.475019182478,240.994903564453,160.560389927455,107.089771815709,209.908412388393,203.925323486328,244.398572649275,229.292236328125,207.087772914342,177.606087820871,192.617688860212,171.832855224609,147.478177751814,169.980133056641,151.663412911551
